번호,수어 표제어 번호,수형설명,한국어 대응표현,결합정보,대/중 분류
72,23913,"오른 주먹의 1·5지 끝을 맞대고 끝이 위로 향하게 하여 내리면서 벌리다가 좁히며 내려 다시 맞댄 다음, 손가락이 위로 향하게 하여 손끝을 모아 댔다가 펴는 동작을 두 번 반복한다.","튀르키예공화국(약칭 튀르키예),터키",달+별,일상생활 수어 > 나라명 및 지명 > 나라명
73,23912,양손 각각 2·5지 끝을 맞대어 동그라미를 만들어 오른손은 오른쪽 어깨 앞에 왼손은 왼쪽 배 앞에 위치하여 손목을 두 번 돌린다.,태국,,일상생활 수어 > 나라명 및 지명 > 나라명
74,23911,"1·5지 끝을 맞대어 동그라미를 만든 오른손을, 손끝이 오른쪽으로 손등이 위로 향하게 편 왼손 밖에서 아래로 내린다.","지다,일몰,해넘이",,일상생활 수어 > 기타
75,23910,"오른 주먹의 1·5지를 펴서 오른쪽 귓불을 잡은 다음, 오른 손가락을 벌려 약간 구부려 끝으로 오른쪽 가슴을 두 번 스쳐 내린다.",중국,,일상생활 수어 > 나라명 및 지명 > 나라명
76,23908,오른 주먹의 1·2지를 펴서 벌려 끝이 밖으로 향하게 모로 세워 두 번 아래로 내리며 맞댄다.,자르다,,일상생활 수어 > 기타
77,23907,"오른 주먹의 1·2지를 펴서 끝이 콧구멍으로 향하게 하여 올린 다음, 오른손의 손가락을 벌렸다가 내리면서 손끝을 모으며 모로 세워 왼 손등에 댄다.","익숙하다,능숙하다,숙달",,일상생활 수어 > 기타
78,23906,"오른 주먹을 머리 오른쪽에, 왼 주먹을 턱 오른쪽에 대고 손목을 돌린다.",이탈리아,,일상생활 수어 > 나라명 및 지명 > 나라명
79,23905,두 손의 손끝을 맞대어 좌우로 비스듬히 세웠다가 내려 두 손 각각 손끝을 모은다.,이집트,,일상생활 수어 > 나라명 및 지명 > 나라명
80,23904,오른 손을 약간 구부려 세워 바닥을 코에 두 번 댄다.,이스라엘,,일상생활 수어 > 나라명 및 지명 > 나라명
81,23903,손끝이 밖으로 향하게 편 오른손을 약간씩 올렸다 내렸다 하면서 밖으로 내민다.,오락가락,,일상생활 수어 > 기타
